"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HN07","HN07_ATTRIBUTES","HN08","HN08_ATTRIBUTES","HN09","HN09_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","HX07","HX07_ATTRIBUTES","HX08","HX08_ATTRIBUTES","HX09","HX09_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LN07","LN07_ATTRIBUTES","LN08","LN08_ATTRIBUTES","LN09","LN09_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","LX07","LX07_ATTRIBUTES","LX08","LX08_ATTRIBUTES","LX09","LX09_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MN07","MN07_ATTRIBUTES","MN08","MN08_ATTRIBUTES","MN09","MN09_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MX07","MX07_ATTRIBUTES","MX08","MX08_ATTRIBUTES","MX09","MX09_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00218450","1960-10","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","2",",Z","1",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19601030",",,Z","","","","","","","","","10.2",",,Z,30,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7",",,,Z","","","","","","","",""
"USC00218450","1960-11","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","4",",Z","1",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19601128",",,Z","","","","","","","","","22.9",",,Z,28,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0",",,,Z","","","","","","","",""
"USC00218450","1960-12","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","2",",Z","1",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19601204",",,Z","","","","","","","","","17.8",",,Z,04,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6",",,,Z","","","","","","","",""
"USC00218450","1961-01","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","4",",Z","0",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610129",",,Z","","","","","","","","","1.3",",,Z,29,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6",",,,Z","","","","","","","",""
"USC00218450","1961-02","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","2",",Z","1",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610217",",,Z","","","","","","","","","4.6",",,Z,17,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9",",,,Z","","","","","","","",""
"USC00218450","1961-03","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","7",",Z","3",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610327",",,Z","","","","","","","","","31.0",",,Z,27,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6",",,,Z","","","","","","","",""
"USC00218450","1961-04","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","8","1,Z","5","1,Z","0","1,Z","","","","","","","","","","","","","","","","","","","","","","","","","19610414",",1,Z","","","","","","","","","12.2","1,,Z,14,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4","1,,,Z","","","","","","","",""
"USC00218450","1961-05","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","8","1,Z","8","1,Z","1","1,Z","","","","","","","","","","","","","","","","","","","","","","","","","19610531",",1,Z","","","","","","","","","29.2","1,,Z,31,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127.3","1,,,Z","","","","","","","",""
"USC00218450","1961-06","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","10",",Z","6",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610622",",,Z","","","","","","","","","16.8",",,Z,22,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.4",",,,Z","","","","","","","",""
"USC00218450","1961-07","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","11",",Z","9",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610701",",,Z","","","","","","","","","23.4",",,Z,01,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.0",",,,Z","","","","","","","",""
"USC00218450","1961-08","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","6",",Z","4",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610818",",,Z","","","","","","","","","15.2",",,Z,18,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5",",,,Z","","","","","","","",""
"USC00218450","1961-09","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","11",",Z","10",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19610908",",,Z","","","","","","","","","12.2",",,Z,08,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.9",",,,Z","","","","","","","",""
"USC00218450","1961-10","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","6",",Z","4",",Z","2",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19611011",",,Z","","","","","","","","","35.6",",,Z,11,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0",",,,Z","","","","","","","",""
"USC00218450","1961-11","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","2",",Z","2",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19611102",",,Z","","","","","","","","","25.4",",,Z,02,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0",",,,Z","","","","","","","",""
"USC00218450","1961-12","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","5",",Z","5",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19611209",",,Z","","","","","","","","","21.8",",,Z,09,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.0",",,,Z","","","","","","","",""
"USC00218450","1962-01","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","7",",Z","0",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620131","+,,Z","","","","","","","","","1.3",",,Z,31,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1",",,,Z","","","","","","","",""
"USC00218450","1962-02","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","9",",Z","6",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620215",",,Z","","","","","","","","","12.7",",,Z,15,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.4",",,,Z","","","","","","","",""
"USC00218450","1962-03","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","4",",Z","3",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620304",",,Z","","","","","","","","","21.6",",,Z,04,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.9",",,,Z","","","","","","","",""
"USC00218450","1962-04","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","9",",Z","5",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","19620422",",,Z","","","","","","","","","10.4",",,Z,22,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5",",,,Z","","","","","","","",""
