"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HN07","HN07_ATTRIBUTES","HN08","HN08_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","HX07","HX07_ATTRIBUTES","HX08","HX08_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LN07","LN07_ATTRIBUTES","LN08","LN08_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","LX07","LX07_ATTRIBUTES","LX08","LX08_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MN07","MN07_ATTRIBUTES","MN08","MN08_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MX07","MX07_ATTRIBUTES","MX08","MX08_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00241047","1966-11","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","","","0.0",",0","8",",0","2",",0","0",",0","9",",0","6",",0","2",",0","25",",0","5",",0","0",",0","0",",0","","","19661109",",,0","19661111","+,,0","19661107",",,0","","","19661107",",,0","19661120",",,0","-22.8",",0,09,","152",",,0,11,+","84",",,0,07,","8.4",",,0,07,","16.7",",0,20,","","","","","","","","","","","","","","","","","","","","","540.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8",",,,0","300",",,,0","0.32",",0","6.98",",,,0","-6.34",",,,0","",""
"USC00241047","1966-12","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","","","0.0",",0","6",",0","2",",0","0",",0","13",",0","4",",0","2",",0","31",",0","14",",0","0",",0","0",",0","","","19661223",",,0","19661230",",,0","19661221",",,0","","","19661221",",,0","19661212",",,0","-20.0",",0,23,","127",",,0,30,","102",",,0,21,","10.2",",,0,21,","11.1",",0,12,","","","","","","","","","","","","","","","","","","","","","689.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5",",,,0","210",",,,0","-3.89",",0","1.47",",,,0","-9.25",",,,0","",""
"USC00241047","1967-01","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","0.0","0","0.0",",0","4",",0","2",",0","0",",0","20",",0","3",",0","3",",0","30",",0","8",",0","0",",0","0",",0","","","19670124",",,0","19670114","+,,0","19670122","+,,0","","","19670122",",,0","19670128",",,0","-22.8",",0,24,","102",",,0,14,+","76",",,0,22,+","8.6",",,0,22,","10.0",",0,28,","","","","","","","","","","","","","","","","","","","","","628.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7",",,,0","203",",,,0","-1.93",",0","3.29",",,,0","-7.15",",,,0","",""
"USC00241047","1967-02","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","0.0","0","0.0",",0","6",",0","1",",0","0",",0","9",",0","3",",0","0",",0","25",",0","5",",0","0",",0","0",",0","","","19670220",",,0","19670217",",,0","19670223",",,0","","","19670223",",,0","19670228",",,0","-14.4",",0,20,","51",",,0,17,","51",",,0,23,","2.5",",,0,23,","13.3",",0,28,","","","","","","","","","","","","","","","","","","","","","527.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9",",,,0","127",",,,0","-0.51",",0","4.71",",,,0","-5.74",",,,0","",""
"USC00241047","1967-03","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","0.0","0","0.0",",0","9",",0","5",",0","0",",0","24",",0","7",",0","3",",0","27",",0","9",",0","0",",0","0",",0","","","19670307",",,0","19670312",",,0","19670312",",,0","","","19670329",",,0","19670328","+,,0","-23.3",",0,07,","178",",,0,12,","152",",,0,12,","24.6",",,0,29,","12.2",",0,28,+","","","","","","","","","","","","","","","","","","","","","643.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.2",",,,0","675",",,,0","-2.43",",0","3.64",",,,0","-8.51",",,,0","",""
"USC00241047","1967-04","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","0.0","0","0.0",",0","9",",0","4",",0","0",",0","4",",0","5",",0","0",",0","27",",0","2",",0","0",",0","0",",0","","","19670421",",,0","19670430",",,0","19670430",",,0","","","19670430",",,0","19670413",",,0","-9.4",",0,21,","127",",,0,30,","152",",,0,30,","5.1",",,0,30,","15.6",",0,13,","","","","","","","","","","","","","","","","","","","","","466.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6",",,,0","368",",,,0","2.80",",0","9.05",",,,0","-3.46",",,,0","",""
"USC00241047","1967-05","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","0.0","0","0.0",",0","10",",0","3",",0","0",",0","0",",0","1",",0","0",",0","10",",0","0",",0","10",",0","0",",0","","","19670501",",,0","19670502","+,,0","19670510",",,0","","","19670510",",,0","19670523","+,,0","-8.9",",0,01,","0",",T,0,02,+","51",",,0,10,","20.6",",,0,10,","27.8",",0,23,+","","","","","","","","","","","","","","","","","","","","","261.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.71","3,,,0","","","","","","","","","","","","","","","","","20.97","2,,,0","49.1",",,,0","64",",,,0","9.89",",0","17.33",",,,0","2.45",",,,0","5345",",,,0"
"USC00241047","1967-06","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","0.0","0","0.0",",0","19",",0","11",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","13",",0","0",",0","","","19670624",",,0","19670630","+,,0","19670630","+,,0","","","19670607",",,0","19670630","+,,0","0.0",",0,24,","0",",,0,30,+","0",",,0,30,+","18.3",",,0,07,","27.2",",0,30,+","146.6","2,,,0","","","","","","","","","","","","","","","","","","","160.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.46",",,,0","","","","","","","","","","","","","","","","","23.68",",,,0","95.0",",,,0","0",",,,0","12.97",",0","19.64",",,,0","6.30",",,,0","3539","1,,,0"
"USC00241047","1967-07","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","22.3","0","22.3",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","","","19670701",",,0","19670731","+,,0","19670731","+,,0","","","19670717",",,0","19670713",",,0","4.4",",0,01,","0",",,0,31,+","0",",,0,31,+","12.7",",,0,17,","32.2",",0,13,","218.5",",,,0","15.4","0","","","","","","","","","","","","","","","","","15.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.93","1,,,0","","","","","","","","","","","","","","","","","29.93","1,,,0","29.2",",,,0","0",",,,0","18.56",",0","27.71",",,,0","9.40",",,,0","3005",",,,0"
"USC00241047","1967-08","45.6729","-111.1547","1455.4","BOZEMAN 6 W EXPERIMENTAL FARM, MT US","55.4","0","33.1",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","2",",0","","","19670808",",,0","19670831","+,,0","19670831","+,,0","2","","19670827",",,0","19670823",",,0","2.8",",0,08,","0",",,0,31,+","0",",,0,31,+","6.9",",,0,27,","33.3",",0,23,","206.4","1,,,0","33.8","0","","","","","","","","","","","","","","","","","18.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0",",,,0","0",",,,0","18.81",",0","28.46",",,,0","9.15",",,,0","3552",",,,0"
