"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00507442","1941-09","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","5",",6","4",",6","0",",6","","","1",",6","0",",6","22",",6","2",",6","0",",6","0",",6","","","","","19410920",",,6","","","19410912",",,6","","","19410911",",,6","19410906",",,6","-9.4",",6,20,","","","25",",,6,12,","12.2",",,6,11,","11.7",",6,06,","","","494.3",",6","27.3",",,,6","25",",,,6","1.86",",6","5.23",",,,6","-1.52",",,,6","","","","","","","",""
"USC00507442","1941-10","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","4",",6","3",",6","0",",6","","","1",",6","8",",6","30",",6","22",",6","0",",6","0",",6","","","","","19411029",",,6","","","19411021",",,6","","","19411004",",,6","19411005",",,6","-21.7",",6,29,","","","28",",,6,21,","4.3",",,6,04,","6.1",",6,05,","","","803.8",",6","11.4",",,,6","53",",,,6","-7.60",",6","-3.98",",,,6","-11.21",",,,6","","","","","","","",""
"USC00507442","1941-11","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","17",",6","1",",6","0",",6","26",",6","4",",6","19",",6","30",",6","30",",6","0",",6","0",",6","","","","","19411125","+,,6","19411130","+,,6","19411127",",,6","","","19411127",",,6","19411121",",,6","-27.8",",6,25,+","102",",,6,30,+","58",",,6,27,","4.6",",,6,27,","-2.2",",6,21,","","","969.3",",6","23.0",",,,6","313",",,,6","-13.98",",6","-8.83",",,,6","-19.12",",,,6","","","","","","","",""
"USC00507442","1941-12","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","3,6","","","","","","","31",",6","0",",6","23","2,6","29","2,6","30","1,6","0","1,6","0","1,6","","","","","19411224",",2,6","19411206","+,,6","19411206",",,6","","","","","19411230",",1,6","-38.9","2,6,24,","102",",,6,06,+","8",",,6,06,","","","-3.3","1,6,30,","","","1059.7","1,6","","","8",",,,6","-19.61","3,6","-15.26","1,,,6","-23.97","2,,,6","","","","","","","",""
"USC00507442","1942-01","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","","","4",",6","0",",6","0",",6","31",",6","0",",6","","","","","28",",6","0",",6","0",",6","","","","","","","19420131","+,,6","19420123",",,6","","","19420123",",,6","19420106","+,,6","","","76",",,6,31,+","13",",,6,23,","1.0",",,6,23,","1.7",",6,06,+","","","","","2.5",",,,6","23",",,,6","","","-16.08",",,,6","","","","","","","","","",""
"USC00507442","1942-02","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","6",",6","0",",6","0",",6","28",",6","0",",6","23",",6","28",",6","28",",6","0",",6","0",",6","","","","","19420203",",,6","19420228","+,,6","19420216",",,6","","","19420216",",,6","19420222",",,6","-38.9",",6,03,","102",",,6,28,+","18",",,6,16,","1.3",",,6,16,","-0.6",",6,22,","","","1163.5",",6","3.6",",,,6","57",",,,6","-23.22",",6","-19.16",",,,6","-27.29",",,,6","","","","","","","",""
"USC00507442","1942-03","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","3,6","1",",6","0",",6","0",",6","31",",6","0",",6","28","3,6","28","3,6","31",",6","0",",6","0",",6","","","","","19420320",",3,6","19420313","+,,6","19420322",",,6","","","19420322",",,6","19420322",",,6","-39.4","3,6,20,","102",",,6,13,+","5",",,6,22,","0.5",",,6,22,","-12.8",",6,22,","","","1306.7",",6","0.5",",,,6","5",",,,6","-28.53","3,6","-24.96",",,,6","-32.11","3,,,6","","","","","","","",""
"USC00507442","1942-04","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","1,6","3",",6","0",",6","0",",6","30",",6","0",",6","19","1,6","29","1,6","30",",6","0",",6","0",",6","","","","","19420417","+,1,6","19420430","+,,6","19420424",",,6","","","19420424","+,,6","19420405","+,,6","-28.9","1,6,17,+","76",",,6,30,+","8",",,6,24,","0.5",",,6,24,+","-1.1",",6,05,+","","","977.0",",6","1.3",",,,6","18",",,,6","-15.33","1,6","-11.38",",,,6","-19.29","1,,,6","","","","","","","",""
"USC00507442","1942-05","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","2,6","4",",6","0",",6","0",",6","31",",6","0","1,6","2","2,6","29","2,6","26",",6","0",",6","0",",6","","","","","19420511",",2,6","19420531","+,,6","19420509","+,1,6","","","19420509",",,6","19420513",",,6","-20.6","2,6,11,","76",",,6,31,+","5","1,,6,09,+","0.8",",,6,09,","2.2",",6,13,","","","711.3",",6","1.9",",,,6","16","1,,,6","-6.14","2,6","-3.22",",,,6","-9.06","2,,,6","","","","","","","",""
"USC00507442","1943-03","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","4,6","8",",6","1",",6","0",",6","31",",6","1",",6","26","2,6","29","2,6","29","2,6","0","2,6","0","2,6","","","","","19430324",",2,6","19430331","+,,6","19430304",",,6","","","19430304",",,6","19430316",",2,6","-45.6","2,6,24,","203",",,6,31,+","38",",,6,04,","3.8",",,6,04,","-0.6","2,6,16,","","","1161.8","2,6","9.7",",,,6","97",",,,6","-24.15","4,6","-17.17","2,,,6","-31.13","2,,,6","","","","","","","",""
