"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003816","1949-08","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","","","","","19490831","+,,0","19490831","+,,0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003816","1949-09","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","","","48.1",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","9","","","","19490930",",,0","19490930","+,,0","19490930","+,,0","3","","19490913",",,0","19490904","+,,0","1.1",",0,30,","0",",,0,30,+","0",",,0,30,+","22.4",",,0,13,","31.7",",0,04,+","","","","","","","47.7",",0","","","","","","","","","","","","","","","","","","","","","50.3",",,,0","","","","","","","","","0",",,,0","18.35",",0","25.15",",,,0","11.54",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1949-10","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","","","37.0",",0","13",",0","8",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","21",",0","0",",0","13","","","","19491031",",,0","19491031","+,,0","19491031",",,0","2","","19491005",",,0","19491009",",,0","-1.1",",0,31,","0",",,0,31,+","0",",T,0,31,","70.4",",,0,05,","30.0",",0,09,","","","","","","","90.8",",0","","","","","","","","","","","","","","","","","","","","","175.6",",,,0","","","","","","","","","0",",T,,0","16.60",",0","22.45",",,,0","10.74",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1949-11","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","","","1.1",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","4",",0","0",",0","1","","","","19491122",",,0","19491130","+,,0","19491121",",,0","2","","19491112",",,0","19491110",",,0","-6.7",",0,22,","0",",,0,30,+","0",",T,0,21,","19.8",",,0,12,","25.0",",0,10,","","","","","","","292.3",",0","","","","","","","","","","","","","","","","","","","","","20.1",",,,0","","","","","","","","","0",",T,,0","8.63",",0","15.33",",,,0","1.92",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1949-12","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","","","0.0",",0","11",",0","10",",0","1",",0","0",",0","0",",0","0",",0","21",",0","1",",0","1",",0","0",",0","11","","","","19491216","+,,0","19491231","+,,0","19491223","+,,0","1","","19491211",",,0","19491221",",,0","-8.3",",0,16,+","0",",,0,31,+","0",",T,0,23,+","37.8",",,0,11,","21.1",",0,21,","","","","","","","394.1",",0","","","","","","","","","","","","","","","","","","","","","129.4",",,,0","","","","","","","","","0",",T,,0","5.62",",0","11.29",",,,0","-0.05",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-01","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","5.0","0","5.0",",0","18",",0","16",",0","6",",0","3",",0","0",",0","0",",0","17",",0","3",",0","3",",0","0",",0","19","","","","19500107","+,,0","19500107","+,,0","19500105",",,0","5","","19500104",",,0","19500125",",,0","-7.8",",0,07,+","25",",,0,07,+","15",",,0,05,","62.7",",,0,04,","23.9",",0,25,","","","","","","","365.9",",0","","","","","","","","","","","","","","","","","","","","","358.8",",,,0","","","","","","","","","25",",,,0","6.69",",0","11.82",",,,0","1.56",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-02","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","5.0","0","0.0",",0","9",",0","7",",0","3",",0","0",",0","0",",0","0",",0","18",",0","0",",0","0",",0","0",",0","12","","","","19500226",",,0","19500228","+,,0","19500215",",,0","3","","19500212",",,0","19500208",",,0","-8.9",",0,26,","0",",,0,28,+","0",",T,0,15,","90.2",",,0,12,","19.4",",0,08,","","","","","","","372.7",",0","","","","","","","","","","","","","","","","","","","","","203.5",",,,0","","","","","","","","","0",",T,,0","5.02",",0","10.08",",,,0","-0.04",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-03","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","6.4","0","1.4",",0","9",",0","6",",0","2",",0","0",",0","0",",0","0",",0","16",",0","1",",0","2",",0","0",",0","10","","","","19500302",",,0","19500331","+,,0","19500329","+,,0","5","","19500327",",,0","19500326",",,0","-7.8",",0,02,","0",",,0,31,+","0",",T,0,29,+","81.0",",,0,27,","25.0",",0,26,","","","","","","","376.9",",0","","","","","","","","","","","","","","","","","","","","","155.0",",,,0","","","","","","","","","0",",T,,0","6.22",",0","11.95",",,,0","0.48",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-04","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","16.1","0","9.7",",0","13",",0","9",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","11",",0","0",",0","7","","","","19500414",",,0","19500430","+,,0","19500405",",,0","6","","19500403",",,0","19500423",",,0","-3.9",",0,14,","0",",,0,30,+","0",",T,0,05,","32.8",",,0,03,","27.2",",0,23,","","","","","","","196.9",",0","","","","","","","","","","","","","","","","","","","","","109.8",",,,0","","","","","","","","","0",",T,,0","12.10",",0","18.09",",,,0","6.10",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-05","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","98.3","0","82.2",",0","12",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","11","","","","19500513",",,0","19500531","+,,0","19500531","+,,0","12","","19500510",",,0","19500524",",,0","8.3",",0,13,","0",",,0,31,+","0",",,0,31,+","30.2",",,0,10,","31.7",",0,24,","","","","","","","23.6",",0","","","","","","","","","","","","","","","","","","","","","147.1",",,,0","","","","","","","","","0",",,,0","20.22",",0","25.41",",,,0","15.03",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-06","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","264.4","0","166.1",",0","8",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","8",",0","6","","","","19500605",",,0","19500630","+,,0","19500630","+,,0","6","","19500613",",,0","19500626",",,0","10.0",",0,05,","0",",,0,30,+","0",",,0,30,+","49.8",",,0,13,","35.0",",0,26,","","","","","","","1.9",",0","","","","","","","","","","","","","","","","","","","","","116.5",",,,0","","","","","","","","","0",",,,0","23.81",",0","29.57",",,,0","18.04",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-07","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","436.4","0","172.0",",0","13",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","3",",0","15","","","","19500714",",,0","19500731","+,,0","19500731","+,,0","10","","19500725",",,0","19500702",",,0","13.9",",0,14,","0",",,0,31,+","0",",,0,31,+","43.7",",,0,25,","32.8",",0,02,","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","173.5",",,,0","","","","","","","","","0",",,,0","23.88",",0","29.39",",,,0","18.37",",,,0","","","","","","","","","","","","","","","","","",""
