"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00026627","1941-09","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","1,6","5",",6","3",",6","0",",6","","","0",",6","0","1,6","6","1,6","0",",6","2",",6","0",",6","","","","","19410922","+,1,6","","","19410930","+,,6","","","19410909",",,6","19410908",",,6","-3.3","1,6,22,+","","","0",",,6,30,+","13.5",",,6,09,","23.3",",6,08,","","","308.7",",6","31.0",",,,6","0",",,,6","7.67","1,6","12.08",",,,6","3.26","1,,,6","","","","","","","","","","","",""
"USW00026627","1941-10","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","1,6","14",",6","2",",6","0",",6","","","0",",6","1","1,6","26","1,6","12",",6","0",",6","0",",6","","","","","19411016",",1,6","","","19411026",",,6","","","19411003",",,6","19411001",",,6","-20.6","1,6,16,","","","13",",,6,26,","6.4",",,6,03,","13.9",",6,01,","","","597.5",",6","23.3",",,,6","16",",,,6","-1.50","1,6","2.51",",,,6","-5.50","1,,,6","","","","","","","","","","","",""
"USW00026627","1941-11","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","3,6","6",",6","1",",6","0",",6","","","","","14","3,6","27","3,6","26","2,6","0","2,6","0","2,6","","","","","19411126",",3,6","","","","","","","19411121",",,6","19411121",",2,6","-27.2","3,6,26,","","","","","2.5",",,6,21,","3.3","2,6,21,","","","817.1","2,6","4.4",",,,6","","","-11.88","3,6","-7.44","2,,,6","-16.33","3,,,6","","","","","","","","","","","",""
"USW00026627","1941-12","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","4",",6","1",",6","0",",6","31",",6","1",",6","14",",6","31",",6","31",",6","0",",6","0",",6","","","","","19411222",",,6","19411231","+,,6","19411214",",,6","","","19411214",",,6","19411231","+,,6","-33.3",",6,22,","152",",,6,31,+","51",",,6,14,","4.1",",,6,14,","-1.7",",6,31,+","","","969.7",",6","6.2",",,,6","85",",,,6","-12.95",",6","-8.79",",,,6","-17.10",",,,6","","","","","","","","","","","",""
"USW00026627","1942-01","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","5",",6","1",",6","0",",6","31",",6","0",",6","","","","","23",",6","0",",6","0",",6","","","","","","","19420101",",,6","19420122",",,6","","","19420104",",,6","19420105",",,6","","","178",",,6,01,","13",",,6,22,","7.4",",,6,04,","6.7",",6,05,","","","","","10.1",",,,6","27",",,,6","","","-4.94",",,,6","","","","","","","","","","","","","",""
"USW00026627","1942-02","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","4",",6","0",",6","0",",6","28",",6","0",",6","4",",6","28",",6","19",",6","0",",6","0",",6","","","","","19420217",",,6","19420212","+,,6","19420211",",,6","","","19420211",",,6","19420213",",,6","-23.3",",6,17,","178",",,6,12,+","8",",,6,11,","0.8",",,6,11,","4.4",",6,13,","","","744.7",",6","1.9",",,,6","19",",,,6","-8.26",",6","-4.83",",,,6","-11.70",",,,6","","","","","","","","","","","",""
"USW00026627","1942-03","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","2,6","3",",6","0",",6","0",",6","31",",6","0",",6","16","1,6","30","1,6","30","1,6","0","1,6","0","1,6","","","","","19420320","+,1,6","19420331","+,,6","19420310",",,6","","","19420310",",,6","19420325",",1,6","-27.8","1,6,20,+","152",",,6,31,+","20",",,6,10,","1.0",",,6,10,","-1.1","1,6,25,","","","921.6","1,6","1.6",",,,6","28",",,,6","-13.41","2,6","-8.29","1,,,6","-18.52","1,,,6","","","","","","","","","","","",""
"USW00026627","1942-04","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","4,6","3",",6","1",",6","0",",6","30",",6","0",",6","0","4,6","26","4,6","6",",6","0",",6","0",",6","","","","","19420401",",4,6","19420422","+,,6","19420428","+,,6","","","19420426",",,6","19420420",",,6","-10.0","4,6,01,","102",",,6,22,+","0",",T,6,28,+","2.8",",,6,26,","7.2",",6,20,","","","497.3",",6","5.1",",,,6","0",",T,,6","-0.80","4,6","2.44",",,,6","-4.04","4,,,6","","","","","","","","","","","",""
"USW00026627","1942-05","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","4,6","7",",6","4",",6","0",",6","","","0",",6","0","4,6","16","4,6","2",",6","0",",6","0",",6","","","","","19420507",",4,6","","","19420505","+,,6","","","19420527",",,6","19420526",",,6","-13.3","4,6,07,","","","0",",T,6,05,+","8.9",",,6,27,","18.3",",6,26,","","","392.5",",6","21.9",",,,6","0",",T,,6","3.82","4,6","8.69",",,,6","-1.05","4,,,6","","","","","","","","","","","",""
"USW00026627","1942-06","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.3","2,6","7",",6","1",",6","0",",6","","","0",",6","0","2,6","0","2,6","0",",6","4",",6","0",",6","","","","","19420604","+,2,6","","","19420630","+,,6","","","19420606",",,6","19420623",",,6","3.9","2,6,04,+","","","0",",,6,30,+","10.4",",,6,06,","25.6",",6,23,","","","201.5",",6","16.5",",,,6","0",",,,6","11.16","2,6","15.04",",,,6","7.27","2,,,6","","","","","","","","","","","",""
"USW00026627","1942-07","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","14",",6","11",",6","0",",6","","","","","0",",6","0",",6","0",",6","4",",6","0",",6","","","","","19420714","+,,6","","","","","","","19420704",",,6","19420722",",,6","5.6",",6,14,+","","","","","15.5",",,6,04,","22.8",",6,22,","180.1","6","180.1",",6","75.6",",,,6","","","12.52",",6","16.07",",,,6","8.98",",,,6","","","","","","","","","","","",""
